Trip id,Request id,Pickup point,Driver id,Status,Request Hour,Request timestamp,Drop timestamp,Trip Duration (mins),Is Completed,Time Slot,DAY
1,619,Airport,1,Trip Completed,11,11-07-2016 11:51,11-07-2016 13:00,69.0,1,Morning,Monday
2,867,Airport,1,Trip Completed,17,11-07-2016 17:57,11-07-2016 18:47,50.0,1,Evening,Monday
3,1807,City,1,Trip Completed,9,12-07-2016 09:17,12-07-2016 09:58,41.0,1,Morning,Tuesday
4,2532,Airport,1,Trip Completed,21,12-07-2016 21:08,12-07-2016 22:03,55.0,1,Night,Tuesday
5,3112,City,1,Trip Completed,8,13-07-2016 08:33,13-07-2016 09:25,52.52,1,Morning,Wednesday
6,3879,Airport,1,Trip Completed,21,13-07-2016 21:57,13-07-2016 22:28,31.52,1,Night,Wednesday
7,4270,Airport,1,Trip Completed,6,14-07-2016 06:15,14-07-2016 07:13,57.72,1,Morning,Thursday
8,5510,Airport,1,Trip Completed,5,15-07-2016 05:11,15-07-2016 06:07,56.0,1,Early Morning,Friday
9,6248,City,1,Trip Completed,17,15-07-2016 17:57,15-07-2016 18:50,53.4,1,Evening,Friday
10,267,City,2,Trip Completed,6,11-07-2016 06:46,11-07-2016 07:25,39.0,1,Morning,Monday
11,1467,Airport,2,Trip Completed,5,12-07-2016 05:08,12-07-2016 06:02,54.0,1,Early Morning,Tuesday
12,1983,City,2,Trip Completed,12,12-07-2016 12:30,12-07-2016 12:57,27.0,1,Afternoon,Tuesday
13,2784,Airport,2,Trip Completed,4,13-07-2016 04:49,13-07-2016 05:23,33.72,1,Early Morning,Wednesday
14,3075,City,2,Trip Completed,8,13-07-2016 08:02,13-07-2016 09:16,73.43,1,Morning,Wednesday
15,3379,City,2,Trip Completed,14,13-07-2016 14:23,13-07-2016 15:35,72.27,1,Afternoon,Wednesday
16,3482,Airport,2,Trip Completed,17,13-07-2016 17:23,13-07-2016 18:20,57.55,1,Evening,Wednesday
17,4652,City,2,Trip Completed,12,14-07-2016 12:01,14-07-2016 12:36,35.73,1,Afternoon,Thursday
18,5335,Airport,2,Trip Completed,22,14-07-2016 22:24,14-07-2016 23:18,54.65,1,Night,Thursday
19,535,Airport,3,Trip Completed,10,11-07-2016 10:00,11-07-2016 10:31,31.0,1,Morning,Monday
20,960,Airport,3,Trip Completed,18,11-07-2016 18:45,11-07-2016 19:23,38.0,1,Evening,Monday
21,1934,Airport,3,Trip Completed,11,12-07-2016 11:17,12-07-2016 12:23,66.0,1,Morning,Tuesday
22,2083,Airport,3,Trip Completed,15,12-07-2016 15:46,12-07-2016 16:40,54.0,1,Afternoon,Tuesday
23,2211,Airport,3,Trip Completed,18,12-07-2016 18:00,12-07-2016 18:28,28.0,1,Evening,Tuesday
24,3096,Airport,3,Trip Completed,8,13-07-2016 08:17,13-07-2016 09:22,65.13,1,Morning,Wednesday
25,3881,Airport,3,Trip Completed,21,13-07-2016 21:54,13-07-2016 22:51,57.08,1,Night,Wednesday
26,5254,City,3,Trip Completed,21,14-07-2016 21:23,14-07-2016 22:25,62.27,1,Night,Thursday
27,5434,City,3,Trip Completed,2,15-07-2016 02:41,15-07-2016 03:24,43.08,1,Late Night,Friday
28,5916,City,3,Trip Completed,10,15-07-2016 10:00,15-07-2016 10:53,52.38,1,Morning,Friday
29,669,City,4,Trip Completed,13,11-07-2016 13:08,11-07-2016 13:49,41.0,1,Afternoon,Monday
30,1567,Airport,4,Trip Completed,6,12-07-2016 06:21,12-07-2016 07:10,49.0,1,Morning,Tuesday
31,1826,City,4,Trip Completed,9,12-07-2016 09:27,12-07-2016 10:27,60.0,1,Morning,Tuesday
32,2102,City,4,Trip Completed,16,12-07-2016 16:09,12-07-2016 17:01,52.0,1,Afternoon,Tuesday
33,2847,Airport,4,Trip Completed,5,13-07-2016 05:34,13-07-2016 06:09,35.65,1,Early Morning,Wednesday
34,3722,Airport,4,Trip Completed,19,13-07-2016 19:57,13-07-2016 20:32,34.08,1,Evening,Wednesday
35,4075,City,4,Trip Completed,2,14-07-2016 02:17,14-07-2016 03:21,64.05,1,Late Night,Thursday
36,4686,City,4,Trip Completed,13,14-07-2016 13:01,14-07-2016 13:45,44.3,1,Afternoon,Thursday
37,5771,Airport,4,Trip Completed,8,15-07-2016 08:30,15-07-2016 09:37,67.23,1,Morning,Friday
38,6106,Airport,4,Trip Completed,15,15-07-2016 15:01,15-07-2016 15:47,46.18,1,Afternoon,Friday
39,312,City,5,Trip Completed,7,11-07-2016 07:27,11-07-2016 08:31,64.0,1,Morning,Monday
40,577,Airport,5,Trip Completed,11,11-07-2016 11:03,11-07-2016 12:01,58.0,1,Morning,Monday
41,1179,City,5,Trip Completed,20,11-07-2016 20:58,11-07-2016 21:45,47.0,1,Night,Monday
42,1756,Airport,5,Trip Completed,8,12-07-2016 08:40,12-07-2016 09:23,43.0,1,Morning,Tuesday
43,2052,City,5,Trip Completed,14,12-07-2016 14:48,12-07-2016 15:50,62.0,1,Afternoon,Tuesday
44,2559,City,5,Trip Completed,21,12-07-2016 21:32,12-07-2016 22:29,57.0,1,Night,Tuesday
45,3014,City,5,Trip Completed,7,13-07-2016 07:28,13-07-2016 08:29,61.55,1,Morning,Wednesday
46,3317,City,5,Trip Completed,12,13-07-2016 12:14,13-07-2016 12:46,32.18,1,Afternoon,Wednesday
47,4297,City,5,Trip Completed,6,14-07-2016 06:43,14-07-2016 07:49,66.62,1,Morning,Thursday
48,5857,Airport,5,Trip Completed,9,15-07-2016 09:08,15-07-2016 10:07,58.28,1,Morning,Friday
49,6690,Airport,5,Trip Completed,22,15-07-2016 22:41,15-07-2016 23:51,69.32,1,Night,Friday
50,1517,Airport,6,Trip Completed,5,12-07-2016 05:45,12-07-2016 06:28,43.0,1,Early Morning,Tuesday
51,1999,Airport,6,Trip Completed,13,12-07-2016 13:02,12-07-2016 13:51,49.0,1,Afternoon,Tuesday
52,2960,Airport,6,Trip Completed,6,13-07-2016 06:50,13-07-2016 07:40,50.03,1,Morning,Wednesday
53,3882,City,6,Trip Completed,21,13-07-2016 21:53,13-07-2016 22:45,52.35,1,Night,Wednesday
54,4081,Airport,6,Trip Completed,2,14-07-2016 02:37,14-07-2016 03:30,53.22,1,Late Night,Thursday
55,4740,City,6,Trip Completed,14,14-07-2016 14:50,14-07-2016 15:38,48.12,1,Afternoon,Thursday
56,5270,City,6,Trip Completed,21,14-07-2016 21:33,14-07-2016 22:25,51.8,1,Night,Thursday
57,6758,Airport,6,Trip Completed,0,15-07-2016 00:03,15-07-2016 01:07,64.0,1,Late Night,Friday
58,5741,City,6,Trip Completed,7,15-07-2016 07:52,15-07-2016 08:38,46.07,1,Morning,Friday
59,6087,Airport,6,Trip Completed,14,15-07-2016 14:28,15-07-2016 15:33,65.05,1,Afternoon,Friday
60,1039,City,7,Trip Completed,19,11-07-2016 19:31,11-07-2016 20:41,70.0,1,Evening,Monday
61,1273,Airport,7,Trip Completed,22,11-07-2016 22:07,11-07-2016 23:12,65.0,1,Night,Monday
